Metric,Group1,Group2,Cohen's d,t-test p-value,Mann-Whitney U p-value,KS p-value,Significant (p < 0.05)?
mae,Random,Intermediate (Non-Pareto),-1.421,2.112e-11,1.255e-12,1.423e-13,Yes
mae,Random,GA-optimized (Pareto),-6.970,1.491e-56,3.653e-22,3.314e-37,Yes
mae,Intermediate (Non-Pareto),GA-optimized (Pareto),-2.387,1.020e-23,1.824e-17,9.270e-16,Yes
