Metric,Group1,Group2,Cohen's d,t-test p-value,Mann-Whitney U p-value,KS p-value,Significant (p < 0.05)?
recall,Random,Intermediate (Non-Pareto),0.115,5.151e-01,5.106e-01,4.279e-01,No
recall,Random,GA-optimized (Pareto),0.727,7.975e-05,2.614e-05,1.629e-07,Yes
recall,Intermediate (Non-Pareto),GA-optimized (Pareto),0.683,1.876e-04,7.195e-04,5.220e-04,Yes
