37	326	41	297	235	9	142	144	210	147	114	18	180	215	87	218	124	158
37	326	41	297	235	9	142	144	210	147	114	18	180	215	87	218	124	158
37	326	297	41	9	332	142	144	18	147	210	114	180	215	87	218	124	158
37	326	297	9	41	332	142	144	210	114	180	18	147	215	87	89	218	158
37	326	41	9	235	297	142	144	114	18	210	147	180	215	87	89	218	158
37	326	41	297	235	9	142	210	114	147	180	18	215	152	87	218	124	158
37	326	41	9	297	332	142	15	114	210	180	18	147	215	87	89	218	158
215	37	326	41	297	235	9	142	144	210	147	180	18	87	152	218	124	158
37	326	41	9	297	235	142	15	210	147	180	18	87	215	152	218	124	158
37	326	9	297	41	332	218	142	144	210	147	18	180	87	152	215	124	158
215	37	326	41	297	9	332	142	15	210	147	180	18	87	152	218	124	158
37	326	41	9	297	332	218	142	15	18	210	147	180	87	152	215	124	158
37	326	9	297	235	332	142	114	147	210	18	180	215	87	218	124	152	158
37	326	9	297	235	332	218	15	144	18	210	147	180	87	152	215	124	158
37	326	9	297	235	332	15	144	18	210	147	180	87	215	152	218	124	158
37	326	9	41	297	332	142	144	240	210	147	18	180	87	215	89	218	158
37	326	9	41	235	297	144	240	18	210	180	147	87	215	152	218	124	158
37	326	9	41	235	297	218	144	240	18	210	180	147	87	152	215	124	158
215	37	326	9	41	297	332	142	240	210	147	18	180	87	152	218	124	158
37	326	9	41	297	332	142	240	18	210	114	147	180	215	87	218	152	158
37	326	297	9	235	332	41	218	15	18	210	147	180	87	152	215	124	158
37	326	297	9	235	332	41	218	15	18	210	147	180	87	152	215	124	158
37	326	297	9	235	332	218	142	15	144	18	147	180	87	152	215	124	158
37	326	9	41	297	332	142	240	18	210	114	147	180	87	152	215	124	158
215	37	326	41	297	9	332	142	144	240	210	18	180	147	87	152	218	158
37	326	41	9	297	332	218	142	144	240	210	18	180	147	87	152	215	158
37	326	297	9	235	332	142	15	144	18	147	180	87	215	152	121	218	158
37	326	41	297	9	332	142	144	240	210	18	180	147	87	152	215	124	158
37	326	297	9	235	332	144	240	210	18	180	147	87	215	152	218	124	158
37	326	41	9	235	297	332	218	144	240	18	147	180	210	87	215	124	158
37	326	9	297	235	332	142	144	240	210	147	180	18	87	215	152	218	158
37	326	9	297	235	332	15	144	240	210	147	180	18	87	152	215	124	158
37	326	297	9	235	332	41	240	210	147	180	18	114	215	87	218	152	158
37	326	297	9	235	332	41	218	240	18	147	180	87	152	121	215	124	158
37	326	41	297	9	332	235	218	144	240	210	18	180	147	87	152	215	158
37	326	297	41	235	9	332	15	240	210	18	180	147	87	152	215	124	158
37	326	41	297	235	332	9	218	144	240	18	147	180	87	152	121	215	158
37	326	41	9	235	297	332	144	240	18	147	180	210	87	152	215	124	158
37	326	41	297	235	332	9	240	144	18	147	180	210	87	152	121	215	158
37	326	41	297	235	332	9	15	240	144	210	18	180	147	87	152	215	158
37	326	41	297	235	332	9	15	144	240	18	147	180	87	152	215	124	158
37	326	41	297	235	332	9	15	240	144	18	147	180	87	152	121	215	158
37	326	41	297	235	332	9	240	144	18	147	180	305	87	152	121	215	158
407	37	326	297	41	235	332	9	144	240	18	147	180	87	152	121	215	158
215	37	326	41	297	235	332	9	240	144	18	147	180	87	152	121	218	383
37	326	297	9	235	332	41	144	240	18	147	180	87	215	152	121	218	383
37	326	297	9	235	332	41	218	144	240	18	147	180	87	152	121	215	383
37	326	41	297	235	332	9	144	240	18	147	116	180	87	152	121	215	383
37	326	41	297	235	9	332	240	144	18	147	180	87	152	121	215	124	383
37	326	297	41	235	332	9	15	240	144	18	147	180	87	152	121	215	383
37	326	297	41	235	332	9	15	240	144	18	147	180	87	152	121	215	383
37	326	41	297	235	332	9	144	305	240	147	180	18	87	152	121	215	383
37	326	41	297	235	332	9	144	240	18	147	180	87	407	152	121	215	383
37	326	41	297	235	332	9	144	240	18	305	147	180	215	152	121	124	383
37	326	9	297	41	235	332	144	240	18	147	180	116	407	152	121	215	383
37	326	41	297	235	332	9	240	144	18	147	180	407	152	121	215	124	383
