Metric,Group1,Group2,Cohen's d,t-test p-value,Mann-Whitney U p-value,KS p-value,Significant?
accuracy,GA,Random,-0.683,2.759e-06,7.667e-06,1.294e-03,Yes
accuracy,GA,Pareto,0.605,8.877e-05,7.870e-05,1.025e-03,Yes
accuracy,Random,Pareto,1.441,1.659e-16,1.580e-13,3.540e-12,Yes
precision,GA,Random,0.132,3.520e-01,2.551e-01,4.695e-01,No
precision,GA,Pareto,-0.895,6.647e-10,1.814e-07,1.342e-05,Yes
precision,Random,Pareto,-1.063,8.861e-13,1.723e-09,4.827e-08,Yes
recall,GA,Random,-0.363,1.105e-02,1.524e-02,7.822e-02,Yes
recall,GA,Pareto,0.139,3.230e-01,5.528e-01,1.050e-02,Yes
recall,Random,Pareto,0.515,2.184e-04,2.113e-03,2.360e-04,Yes
f1,GA,Random,-0.234,9.904e-02,1.087e-01,2.819e-01,No
f1,GA,Pareto,-0.128,3.647e-01,8.086e-01,4.311e-02,Yes
f1,Random,Pareto,0.146,2.963e-01,2.099e-01,6.510e-03,Yes
auc,GA,Random,-1.123,1.719e-13,9.667e-12,1.115e-08,Yes
auc,GA,Pareto,0.951,1.067e-10,2.524e-08,6.212e-11,Yes
auc,Random,Pareto,2.611,5.404e-41,2.004e-23,2.326e-31,Yes
