Metric,Group1,Group2,Cohen's d,t-test p-value,Mann-Whitney U p-value,KS p-value,Significant (p < 0.05)?
accuracy,Random,Intermediate (Non-Pareto),-0.295,2.759e-01,3.406e-01,2.053e-01,No
accuracy,Random,GA-optimized (Pareto),0.469,8.755e-02,7.011e-02,1.110e-01,No
accuracy,Intermediate (Non-Pareto),GA-optimized (Pareto),1.303,1.000e-05,4.137e-05,4.250e-03,Yes
