50-14-6	1	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
81-14-1	1	CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C
9066-59-5	0	CC(C)CC(C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CC(=O)N)C(=O)O)NC(=O)CNC(=O)C(CC3=CN=CN3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CS)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(CC4=CC=CC=C4)NC(=O)C(C(C)C)N
14636-12-5	0	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CCCCN)C(=O)NCC(=O)N
118-74-1	0	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
111-91-1	0	C(CCl)OCOCCCl
79-08-3	0	C(C(=O)O)Br
34273-10-4	0	CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(C(C)C)C(=O)NC(CC2=CN=CN2)C(=O)N3CCCC3C(=O)NC(C)C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)CNC
96-18-4	1	C(C(CCl)Cl)Cl
542-92-7	0	C1C=CC=C1
335-76-2	1	C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
124-28-7	0	CCCCCCCCCCCCCCCCCCN(C)C
692-13-7	1	CCCCN=C(N)N=C(N)N
5315-79-7	1	C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)O
2497-06-5	0	CCOP(=S)(OCC)SCCS(=O)(=O)CC
55704-78-4	0	CC1(CSC(CS1)(C)O)O
76-12-0	0	C(C(F)(Cl)Cl)(F)(Cl)Cl
144-67-2	1	CCCCCCCCCCCCCCCC(=O)OC1CC(=C(C(C1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)OC(=O)CCCCCCCCCCCCCCC)C)C)C)C
9041-93-4	1	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
33490-33-4	1	CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCNC(=N2)N)CNC(=O)CC(CCCN)N
5436-43-1	1	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
87-89-8	0	C1(C(C(C(C(C1O)O)O)O)O)O
77-86-1	0	C(C(CO)(CO)N)O
1450-85-7	1	C1=CNC(=S)N=C1
113-79-1	1	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
80214-83-1	1	CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
