50-99-7	0	C(C(C(C(C(C=O)O)O)O)O)O
555-44-2	0	CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
144-67-2	0	CCCCCCCCCCCCCCCC(=O)OC1CC(=C(C(C1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)OC(=O)CCCCCCCCCCCCCCC)C)C)C)C
9066-59-5	0	CC(C)CC(C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CC(=O)N)C(=O)O)NC(=O)CNC(=O)C(CC3=CN=CN3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CS)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(CC4=CC=CC=C4)NC(=O)C(C(C)C)N
17465-86-0	0	C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O
9041-93-4	1	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
123-63-7	1	CC1OC(OC(O1)C)C
40601-76-1	1	CC1=CC(=C(C(=C1CN2C(=O)N(C(=O)N(C2=O)CC3=C(C(=C(C=C3C)C(C)(C)C)O)C)CC4=C(C(=C(C=C4C)C(C)(C)C)O)C)C)O)C(C)(C)C
7553-56-2	0	II
