708	4519	4201	1513	1995	5898	3533	2133	6293	1466	3516
708	4519	2089	5898	1995	1513	3533	6293	6552	3516	222
708	4519	1513	5898	1995	2089	3533	6293	6552	1466	3516
708	4519	1513	5898	1995	811	3533	6293	5238	3516	222
708	4519	2089	5898	1995	1513	3533	6293	5238	3516	222
708	4519	1513	5898	1995	3533	1773	6293	5238	1466	3516
708	4519	2089	4201	1995	1513	3533	6293	6552	3516	222
708	4519	1513	4201	1995	811	3533	6293	6552	3516	222
1955	4519	1513	4201	1995	5898	3533	2133	6293	3516	222
708	4519	4201	1513	1995	1773	3533	6293	2133	3516	222
708	4519	1513	4201	1995	3533	1614	6293	2133	3516	222
708	4519	1513	2089	1995	811	3533	6293	6552	3516	222
708	4519	1513	5898	1995	2089	3533	2133	6293	1466	3516
708	4519	4201	1513	1995	2089	3533	6293	2133	3516	222
708	4519	2089	4201	1513	1995	3533	2133	6293	1466	3516
708	4519	2089	1513	811	1995	3533	6293	5238	3516	222
708	4519	1513	2089	811	1995	3533	6293	6552	1466	3516
1955	708	2089	5898	1513	1995	3533	6293	6552	3516	222
708	4519	1513	2089	1995	3533	1773	6293	5238	1466	3516
1955	4519	1513	4201	1995	3533	1614	6293	2133	3516	222
1955	708	1513	2089	1995	4201	3533	6293	6552	3516	222
1955	4519	1513	4201	1995	811	3533	2133	6293	3516	222
708	4519	4201	1513	1995	3533	1614	6293	2133	1466	222
1955	4519	2089	1513	1995	4201	3533	2133	6293	3516	222
708	4519	1513	2089	1995	811	3533	6293	5238	1466	222
708	4519	4201	1513	811	1995	3533	2133	6293	1466	222
1955	708	4201	1513	1995	3533	1614	6293	2133	3516	222
708	4519	1513	2089	1995	1773	3533	6293	5238	1466	222
1955	708	2089	5898	1995	1513	3533	6293	5238	1466	222
1955	708	1513	4201	2089	1995	3533	2133	6293	3516	222
1955	708	1513	2089	1995	3533	1773	6293	5238	1466	3516
708	4519	2089	1513	1995	811	3533	2133	5238	3516	222
1955	708	1513	4201	1995	3533	1614	6293	2133	1466	222
1955	708	2089	1513	1995	4201	3533	2133	6552	3516	222
1955	708	1513	4201	1995	811	3533	6293	5238	1466	222
708	4519	2089	4201	811	1995	3533	6293	5238	1466	222
1955	708	1513	2089	1995	4201	1773	6293	6552	1466	3516
1955	708	2089	1513	1995	3533	1773	6293	5238	1466	222
1955	708	2089	4201	1995	3533	1614	6293	5238	3516	222
1955	708	2089	4201	811	1995	3533	6293	6552	3516	222
1955	708	4201	2089	1995	1513	3533	2133	5238	1466	3516
1955	708	4201	2089	1995	3533	1773	6293	6552	1466	3516
1955	708	2089	4201	1995	1773	3533	6293	5238	1466	3516
1955	708	2089	4201	1995	5898	3533	2133	5238	1466	3516
1955	708	2089	4201	1995	3533	1614	6293	2133	3516	222
1955	708	2089	4201	1995	3533	1614	6293	5238	1466	222
1955	708	4201	2089	1995	1513	3533	2133	5238	1466	222
1955	708	2089	4201	1995	1773	3533	6293	5238	1466	222
1955	708	2089	4201	1995	3533	1614	2133	5238	1466	3516
1955	708	4201	2089	1995	3533	1773	2133	5238	1466	3516
1955	708	4201	2089	1995	1773	3533	2133	5238	1466	222
